id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,年份
4371273105228062,HtU8ClW3A,5660364135,甘肃吃喝玩乐攻略,【甘肃省“双创”招聘会进校园⑨】5月11日，由省市场监管局、中共甘肃省非公有制经济组织委员会、兰州交通大学、省私营企业协会、省个体劳动者协会联合举办的甘肃省“大众创业万众创新”2019年兰州交通大学校园招聘会隆重举行。这次“双创”招聘会得到了全省民营企业家们的积极响应，近200家企业，提供了5000多个就业岗位，为省内10多所大学求职学生提供了广阔的择业平台，同时吸引了西安、安徽和湖南等省外大学的优秀学生前来应聘。招聘会现场意向签约1107人。#2019年甘肃省双创招聘会##兰州身边事#@甘肃市场监管@兰州交通大学L博爱兰州的秒拍视频,,,"甘肃市场监管,兰州交通大学","2019年甘肃省双创招聘会,兰州身边事",0,0,0,2019-05-12 23:49:00,微博视频号,,"http://f.us.sinaimg.cn/0022OGmplx07tNS0ChbW010412005p6N0E010.mp4?label=mp4_hd&template=960x448.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693038928&ssig=NqpDLs7aGy&KID=unistore,video",,2019
4370550019309200,HtBklD3Ko,2905354191,代表月亮消灭所有地球渣男熊孩子,#Uber中国前员工#中国企业、员工辞职和休产假都要克扣年终奖…,,,,Uber中国前员工,0,0,5,2019-05-10 23:56:00,iPhone客户端,,,,2019
4367287421146656,Hses64Ois,5746417565,漂洋Hdd,♥️什么叫做大企业什么叫做最现代的科技意大利最大的红酒供应商[强]L漂洋Hdd的秒拍视频,,咸阳,,,0,0,0,2019-05-01 23:52:00,iPhone客户端,,"http://f.us.sinaimg.cn/002EdCWJlx07twm7VQCY010412003eJS0E010.mp4?label=mp4_hd&template=844x480.28.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1693038245&ssig=oQDoAJGSc2&KID=unistore,video",,2019
4368376224557177,HsGMej7wR,3701532954,灰猫闪着眼放电,今天是妈妈的作品乡镇女企业家,,,,,0,7,5,2019-05-04 23:58:00,vivo AI智慧拍照X21,['https://wx2.sinaimg.cn/large/dca0e91aly1g2pq6meicgj22c0340kjm.jpg'],,,2019
4370548488237584,HtBhSyyYg,7077494830,想不到好名字ccyy_,时光外刊社@·时光暖流·#CATTI##MTI#📘中式英语Day-5📝外刊精读Day-12venturen.风险（有风险的企业）；投机活动v.冒险（去做）；冒昧（地说）revenuen.公司收入；税收；收益raptadj.如痴如醉的；专心致志的；全神贯注的,,,·时光暖流·,"CATTI,MTI",0,0,0,2019-05-10 23:50:00,时光外刊社超话,"['https://wx4.sinaimg.cn/large/007IYrIqly1g2wnlifv28j33402c0kjl.jpg', 'https://wx4.sinaimg.cn/large/007IYrIqly1g2wnm5grslj33402c0e81.jpg', 'https://wx1.sinaimg.cn/large/007IYrIqly1g2wnm93312j33402c0npd.jpg', 'https://wx4.sinaimg.cn/large/007IYrIqly1g2wnkvrvbsj30v91votn9.jpg']",,,2019
4368010807869552,HsxgQx1eg,2076733501,比特币叫兽,据Cointelegraph消息，越南CMC电信和美国云服务提供商Akamai签署了一项合作协议，将为基于区块链的交易平台BCNEX提供安全服务。两家供应商都将为BCNEX提供支持，BCNEX则将为越南区块链初创企业提供支持服务。据报道，该项合作的目的是确保用户数据的安全并防止DDoS攻击。,,,,,0,0,0,2019-05-03 23:46:00,未知星球的Android,,,,2019
4369462666474974,Ht92yrar4,6459756141,李慕文大大,"#青年眼中的世界##青年眼中的世界#@中国高校传媒联盟@中国青年报牛津因它是世界一流学府的地位和遍布各地的古迹而闻名,使它成为人们极度梦想的城市。牛津从7世纪起便有人居住。9世纪建立的，距今有1100多年历史的牛津城是英国皇族和学者的摇篮。今遍布城市各个角落的商业企业，特别是高科技企业，又使牛津这座古老的城市焕发了青春的活力。",,武汉,"中国高校传媒联盟,中国青年报",青年眼中的世界,0,0,1,2019-05-07 23:55:00,iPhone客户端,"['https://wx2.sinaimg.cn/large/0073atFbly1g2t6y5zjx5j31940u0143.jpg', 'https://wx4.sinaimg.cn/large/0073atFbly1g2t6y7uq4oj318z0u0h3r.jpg', 'https://wx3.sinaimg.cn/large/0073atFbly1g2t6y8tx21j31940u0143.jpg', 'https://wx3.sinaimg.cn/large/0073atFbly1g2t6ybh0q7j31900u0qi6.jpg', 'https://wx1.sinaimg.cn/large/0073atFbly1g2t6ych02aj30u0140n95.jpg', 'https://wx1.sinaimg.cn/large/0073atFbly1g2t6ydiyuxj31ic0u0ash.jpg', 'https://wx3.sinaimg.cn/large/0073atFbly1g2t6y5jq67j30u018z0zo.jpg', 'https://wx4.sinaimg.cn/large/0073atFbly1g2t6yf02edj31400u0dl0.jpg', 'https://wx2.sinaimg.cn/large/0073atFbly1g2t6yqvoi5j30u0140wlf.jpg']",,,2019
4369462805305148,Ht92Mmg6U,5644848622,濮阳日常事,"#濮阳话题#【新疆阿克苏地区考察团到范县考察交流！为两地企业合作交流搭建桥梁！】5月7日，新疆阿克苏地委统战部副部长、地区工商联党组书记齐宗伟一行，到范县交流考察服务民营经济发展经验做法。市委统战部副部长、工商联党组书记吴朝阳，县领导王守谦、辛勇陪同考察。考察团一行到范县鲁蒙玻璃制品有限公司，了解企业发展文化、经营理念以及企业在生产经营、市场营销、法律维权、劳动用工、社会保障等方面的经验做法,并对我县在抓实抓好民营经济发展方面所作的工作给予充分肯定和高度评价。考察期间，县工商联与新疆阿克苏市工商联举行了缔结友好商会签约仪式，为范新两地企业合作交流搭建了桥梁，为两地之间互惠互利协同发展提供了保障，两地工商联(商会)将以缔结友好商会为契机，进一步加强经贸往来，实现资源共享，合作共赢，共同推进两地民营经济持续健康发展。考察团一行还到冀鲁豫边区革命纪念馆参观学习。（来源：范县通）",,,,濮阳话题,0,0,1,2019-05-07 23:56:00,360安全浏览器,,,,2019
4368012456766017,Hsxjvso9j,1773741127,henrywa,申典先生说前天大家都在聊，某上市中药发现没有，很多巨富都拿的是外籍，但是他们依旧把控着的是国内的企业。而不是把自身资产转移到国外，在境外进行新的资产布置，为什么？既然移民，那你就走啊～主要原因在于，华裔没办法融入西方国家的主流社会，西方主流社会的白人群体也不愿意接受华人面孔成为他们的一部分。这也是一些巨富移民新加坡不移民欧美的原因，但是新加坡市场狭小，同样是没有用的。移民西方的华裔，若混得好的，大多是拿着外籍回到中国混，或者做些各种和中国沾边的事，混的普通的【卖保险，中餐馆，普通IT码农】另说。拥有健全法制，民生的重要性新加坡吸引这部分中国富人移民的原因就在于此，还有一部分是来的钱不干净。富人移民不是争取什么所谓的福利，富人几十亿身价也不可能贪图什么福利。包括新加坡南边的印尼，印尼的巨富8成以上为华人，而华裔在印尼因为种族的原因，人身安全得不到保障，而大多华裔又不愿意舍弃印尼的产业，很多巨富就选择把身份移入临近的新加坡，印尼一旦有什么风吹草动，直接做直升飞机逃往新加坡。而新加坡每年单靠这些富人移民，就可以上百亿上百亿的“搬运”中国和印尼乃至马来西亚的黄金进入这个小岛，简直就是“鼻屎大的吸血鬼”【强调，无贬义，只是生动比喻】。,,,,,0,0,0,2019-05-03 23:53:00,iPhone客户端,,,,2019
4367287719272643,HseszCUeL,3567861320,阳光UY,开心点姑娘，什么都在一步一步变美好。农民工，也有他认为的快乐和小美好。企业家也有企业家的烦恼。五一，你有假期吗？晚安,,,,,0,1,0,2019-05-01 23:53:00,iPhone客户端,['https://wx2.sinaimg.cn/large/d4a93e48ly1g2m92r9n5rj22c0340e82.jpg'],,,2019
